WKT,VILL_NAME,Survey_No,Mandal,District,State
"POLYGON ((75.8735002305028 25.6685130681294,75.8735172349983 25.6683370532231,75.8735344832813 25.6682312896032,75.8735691061905 25.6680694020572,75.8734810922443 25.6680444380579,75.8733010406122 25.6679669187389,75.873285688149 25.6679590390718,75.8731984606917 25.6679142657011,75.8730580313954 25.6678548262469,75.8729395619511 25.667815563855,75.8727897273795 25.6677645256076,75.8726368860799 25.6677257578871,75.8724966900371 25.6676927016983,75.8724956199267 25.6677225391412,75.8724792083855 25.6679596645061,75.8724542284173 25.6682745232697,75.8724548917867 25.6684463352064,75.8724709991102 25.6685299659785,75.8724949562649 25.6686137319656,75.8724950515671 25.668638610903,75.8725065177357 25.6686439991694,75.8725776488123 25.668640276028,75.8727668143455 25.6686433955932,75.8729542001396 25.6686546221522,75.8731634600703 25.6686667095826,75.8732257016414 25.6686692682337,75.8733202814145 25.6686731560517,75.8734780659214 25.6686857479167,75.8735002305028 25.6685130681294))",BHAJNERI,"1689",Nainwa,Bundi,Rajasthan
"POLYGON ((75.8741235996933 25.6689449593226,75.8742687812505 25.6687184549227,75.8743630358363 25.6685523611598,75.8744041730942 25.6684846357083,75.8744695134589 25.6683844149303,75.8745645360826 25.6682108117165,75.87457125996 25.668202720511,75.8745020176199 25.6681887655325,75.8743806480068 25.6681733717811,75.8742325542642 25.668149083725,75.8741797954548 25.6681498010633,75.8741712013119 25.6681906301662,75.8741366297401 25.6683405668536,75.8738964791907 25.6682818545903,75.8739050954149 25.6681646997147,75.8736821779715 25.6681014733115,75.8735691061905 25.6680694020572,75.8735344832813 25.6682312896032,75.8735172349983 25.6683370532231,75.8735002305028 25.6685130681294,75.8734780659214 25.6686857479167,75.8735359026823 25.6686903638471,75.8736723667169 25.6687020906341,75.8737767242304 25.6687210767206,75.873782308195 25.668832824838,75.8737816880954 25.6688634622169,75.8738743332577 25.668898077095,75.873990015766 25.6689328299706,75.8740745586201 25.668949511372,75.8741164284982 25.668957772726,75.8741235996933 25.6689449593226))",BHAJNERI,"1693",Nainwa,Bundi,Rajasthan
"POLYGON ((75.8737765946404 25.6691138725226,75.8737782623358 25.6690325234007,75.873779581455 25.6689674040214,75.8737816880954 25.6688634622169,75.873782308195 25.668832824838,75.8737767242304 25.6687210767206,75.8736723667169 25.6687020906341,75.8735359026823 25.6686903638471,75.8734780659214 25.6686857479167,75.8733202814145 25.6686731560517,75.8732257016414 25.6686692682337,75.8732144932793 25.6689984059625,75.8732126588841 25.669104046331,75.8734562767252 25.6691097519452,75.8736068705571 25.6691212622857,75.8737389295508 25.6691342435519,75.8737801231374 25.669134590952,75.8737765946404 25.6691138725226))",BHAJNERI,"1690",Nainwa,Bundi,Rajasthan
"POLYGON ((75.8739510396526 25.6692532946226,75.8741164284982 25.668957772726,75.8740745586201 25.668949511372,75.873990015766 25.6689328299706,75.8738743332577 25.668898077095,75.8737816880954 25.6688634622169,75.873779581455 25.6689674040214,75.8737782623358 25.6690325234007,75.8737765946404 25.6691138725226,75.8737801231374 25.669134590952,75.8737856100619 25.6691668091732,75.8737985711782 25.6691988440431,75.873842955383 25.6692164367604,75.8738977942172 25.6692381573955,75.8739466777875 25.6692610886929,75.8739510396526 25.6692532946226))",BHAJNERI,"1692",Nainwa,Bundi,Rajasthan
"POLYGON ((75.8730719561229 25.6696119943898,75.8730757302313 25.6694332722969,75.8729506927251 25.6694197494363,75.8728356899325 25.6694073117254,75.8727951547892 25.6693981332748,75.8727925278516 25.6693670016127,75.872798015898 25.6692288068602,75.8728049388747 25.6691694808775,75.8728136388147 25.6691055654253,75.8728880250635 25.669105976413,75.8729867261046 25.6691048907124,75.8731125944638 25.6691016505276,75.8732126588841 25.669104046331,75.8732144932793 25.6689984059625,75.8732257016414 25.6686692682337,75.8731634600703 25.6686667095826,75.8729542001396 25.6686546221522,75.8727668143455 25.6686433955932,75.8725776488123 25.668640276028,75.8725065177357 25.6686439991694,75.8724985132165 25.6686896856605,75.8724654072894 25.668878622736,75.8724472965206 25.6689560785598,75.8724097084373 25.6691168275759,75.8723888834454 25.6692922958704,75.8723579155968 25.6695386476339,75.872350537855 25.669590971475,75.8723453192859 25.6696279913854,75.8723394972597 25.669690734647,75.8724589312893 25.6696943222128,75.8726754422044 25.6697056450583,75.8728079513349 25.6697129439417,75.8729390924021 25.6697268749964,75.8730634950205 25.6697468861252,75.8730719561229 25.6696119943898))",BHAJNERI,"1688",Nainwa,Bundi,Rajasthan
"POLYGON ((75.873678760656 25.6697054023838,75.873828104659 25.6694589440635,75.8739238814609 25.6693018208602,75.8739466777875 25.6692610886929,75.8738977942172 25.6692381573955,75.873842955383 25.6692164367604,75.8737985711782 25.6691988440431,75.8737856100619 25.6691668091732,75.8737801231374 25.669134590952,75.8737389295508 25.6691342435519,75.8736068705571 25.6691212622857,75.8734562767252 25.6691097519452,75.8732126588841 25.669104046331,75.8731125944638 25.6691016505276,75.8729867261046 25.6691048907124,75.8728880250635 25.669105976413,75.8728136388147 25.6691055654253,75.8728049388747 25.6691694808775,75.872798015898 25.6692288068602,75.8727925278516 25.6693670016127,75.8727951547892 25.6693981332748,75.8728356899325 25.6694073117254,75.8729506927251 25.6694197494363,75.8730757302313 25.6694332722969,75.8730719561229 25.6696119943898,75.8730634950205 25.6697468861252,75.8730689470582 25.669747762136,75.8732193068805 25.669764996405,75.8733439052321 25.6697764349698,75.8734295252659 25.6697869415959,75.873434238884 25.6697875194268,75.8736106195198 25.6698003333342,75.873678760656 25.6697054023838))",BHAJNERI,"1691",Nainwa,Bundi,Rajasthan
"POLYGON ((75.8620660367911 25.6727048547854,75.8621612931318 25.6726953133212,75.8621769109921 25.6725616593985,75.8621944820524 25.6724796954601,75.862436430313 25.6724548738027,75.862655185766 25.6724335068235,75.8628557212391 25.6724275694636,75.8630744565797 25.6724098728315,75.8632669614036 25.6723883671766,75.8634507883577 25.6723834429468,75.8634987399129 25.6723955376895,75.8635202222123 25.6723898229576,75.8634673633501 25.6723751732493,75.8633627521666 25.6723580422937,75.8631244612119 25.6723171807988,75.8628880117812 25.6722797212296,75.8628112770446 25.6722640565015,75.8626806473017 25.6722478914046,75.8626342370071 25.6722381511033,75.8625697882187 25.6722417834136,75.8623192964009 25.6722809256331,75.8621133292184 25.6723345865232,75.8620462898292 25.6723590704697,75.8620370188898 25.6723877634665,75.8620162200953 25.6725831152816,75.8620022223478 25.6727089834048,75.8620660367911 25.6727048547854))",BHAJNERI,"1659",Nainwa,Bundi,Rajasthan
"POLYGON ((75.8611606315052 25.6740916998955,75.8613303238924 25.6740533151228,75.8614942312676 25.6740138725319,75.8616578561182 25.6739749262805,75.8618434193141 25.6739254574353,75.8619962211825 25.6738911489825,75.8620212668421 25.6738855257729,75.8620322956396 25.6737800191499,75.8620348963641 25.6737283570829,75.8620398200713 25.6736703687172,75.8620385840799 25.6736113024146,75.8620380834915 25.6735929643872,75.8620378113449 25.6735829738132,75.8620345850476 25.6735487786904,75.8620368710326 25.6734999077319,75.8620429136516 25.6734421845593,75.8620399273492 25.6734112937634,75.8620473121085 25.6733812700799,75.8620459530978 25.6733549675597,75.8620420598268 25.6733049656073,75.8620418791372 25.6733028954587,75.8620373265111 25.6732508832663,75.8620334417678 25.6731945193807,75.8620310050135 25.673167004007,75.8620281785038 25.6731350917519,75.8620229110449 25.6730764263448,75.8620221214174 25.6730677610179,75.8620176393909 25.6730185240558,75.8620160818711 25.6729969365576,75.8620134830062 25.6729608862975,75.862009312626 25.6729057910573,75.8620003523098 25.6728587898991,75.8619973083839 25.6728019256967,75.8619978699991 25.6727481245251,75.8619357675339 25.672751585917,75.8617278123532 25.672771602282,75.8615198428588 25.6727944276256,75.8613214901643 25.6728215567143,75.8611414745709 25.6728458798382,75.8609481134039 25.6728767167952,75.8607041236623 25.6729279099195,75.8606688871643 25.6729319296069,75.8606762125535 25.6729639353546,75.8606907452257 25.6730375848394,75.8607020569522 25.673070233494,75.8607053817546 25.6731028009453,75.8607171185246 25.6731441290856,75.8607269376544 25.6732114648034,75.8607434544943 25.6733400803783,75.8607533414042 25.6734450114425,75.8607732607665 25.6735567928984,75.8607919608275 25.6735948176492,75.8608180777029 25.6736358101026,75.8608507600295 25.6737057878174,75.8609212154535 25.6738214551974,75.860982166169 25.6739307602241,75.8610310906161 25.6740221093038,75.8610743978099 25.6740941228893,75.8610880232322 25.6741170338713,75.8611606315052 25.6740916998955))",BHAJNERI,"1654",Nainwa,Bundi,Rajasthan
"POLYGON ((75.8627613331998 25.6754826403148,75.8629140286264 25.6754471549479,75.8629568896673 25.6754402444632,75.8630255169543 25.6754214713912,75.8630950011868 25.675410172457,75.8630930993822 25.6753443785271,75.8630832514356 25.6752489077945,75.8630816063147 25.6752346597333,75.8630721413751 25.6751526562174,75.8630589065597 25.6750567675457,75.8630528743183 25.6749613356866,75.8630381838209 25.6748803996118,75.8630256963453 25.6748271181959,75.8630139386928 25.6747834399829,75.8630035736879 25.6747643375866,75.862936625895 25.6746920830765,75.8628858428785 25.6746499272766,75.8627775476319 25.6746643743804,75.8626394580405 25.6746881134833,75.862440643122 25.6747196808226,75.8623475904269 25.6747358165443,75.8622855847628 25.6747442068314,75.8622551012996 25.674748019194,75.8622603361253 25.6747816056081,75.8622626896391 25.6748753444765,75.8622545932287 25.6748813887879,75.8622399863496 25.6748869134572,75.8622241746612 25.6749087644798,75.8622235247766 25.6749207840205,75.8622339562187 25.675010066095,75.8622443477656 25.6751025250197,75.8622610609107 25.675210930913,75.8622712122685 25.6753229015546,75.8622818259752 25.6754380542259,75.8622824464085 25.6754542072607,75.8623355710883 25.6754423459789,75.8625071992219 25.6754179641901,75.8625475645944 25.675414986491,75.8626227331463 25.6754094413323,75.8626871044558 25.6754877989436,75.862695491812 25.6754979420947,75.8627613331998 25.6754826403148))",BHAJNERI,"1650",Nainwa,Bundi,Rajasthan
"POLYGON ((75.9440158507056 25.6671705067898,75.9441871383523 25.6670810646475,75.9442547024607 25.6670362538838,75.944234324242 25.6669661529648,75.9442055033016 25.6669013106329,75.9441939557792 25.6668254438853,75.9440599156582 25.6668494937903,75.9437849853279 25.6668758952176,75.9438187128975 25.6670359786673,75.9438955028295 25.6672514944051,75.9440158507056 25.6671705067898))",DEI,"1825",Nainwa,Bundi,Rajasthan
