poly,Crop Name,Event_Occurred_Type,Polygon_correct,Polygon_comment,surf_press_ana,soil_temp_ana,canopy_evapo_ana,wind_ana,temp_ana,ppt_ana,sowingdate,cropstage_on_event,phenology_similar,ndmi_status,sar_water_index,phenology_same_as_5year,harvest_date
1,Urad,Inundation,0,shift,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-02,8,94,8,TRUE,72,2023-09-29
2,Urad,Excess Rainfall & Indundation,0,shift,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2023-06-22,7,98,8,TRUE,59,2023-09-29
3,Urad,Excess Rainfall,0,wrong_shape,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-02,4,91,10,TRUE,55,2023-09-27
4,Urad,Excess Rainfall,0,shift,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-02,6,93,10,TRUE,57,2023-10-07
5,Urad,Excess Rainfall,0,shift,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-02,5,96,10,TRUE,55,2023-10-07
6,Urad,Excess Rainfall,0,wrong_shape,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-02,5,96,10,TRUE,53,2023-10-07
7,Urad,Excess Rainfall,0,shift,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2023-06-18,7,97,8,TRUE,54,2023-10-19
8,Urad,Excess Rainfall,0,shift,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2023-06-28,6,97,8,TRUE,53,2023-09-29
9,Urad,Cyclonic Rains,0,shift,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2023-06-28,7,98,8,TRUE,54,2023-10-11
10,Urad,Excess Rainfall,0,shift,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2023-06-28,6,98,9,TRUE,54,2023-10-11
11,Urad,Cyclonic Rains,0,no_farm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2023-06-28,7,99,8,TRUE,55,2023-10-07
12,Urad,Excess Rainfall,0,shift,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2023-06-28,7,98,8,TRUE,55,2023-09-29
13,Urad,Excess Rainfall,0,wrong_shape,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2023-07-02,9,95,9,TRUE,55,2023-10-11
14,Urad,Excess Rainfall,0,wrong_shape,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2023-06-28,7,99,7,TRUE,56,2023-10-07
